Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Viet Nam,VNM,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,10,10,10,10,10,10,10,10,10,10
Viet Nam,VNM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,188694468366.268,199081239731.688,210137237901.389,223632762207.56,239258328381.741,255264731908.124,272980590259.187,293358610036.841,314947640805.601,323972192107.065,332245562394.77,360611028837.664,378876063686.799,405742875627.919
Viet Nam,VNM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.41316889681683,5.5045447041189,5.55351081026072,6.42224312118567,6.98715430598611,6.69000892660424,6.94019037359206,7.46500685572751,7.35926270105006,2.86541320912272,2.55372852648131,8.53750046755788,5.06502391455075,7.09118746633975
Viet Nam,VNM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2132.90453762087,2224.11404253256,2320.08431444934,2439.28655744423,2577.56885340113,2715.57887431272,2868.13680013379,3048.28327602145,3241.07648966529,3303.16949807493,3358.21734764714,3617.66311465012,3775.46375555802,4017.74604111554
Viet Nam,VNM,GNI (constant 2015 US$),NY.GNP.MKTP.KD,173350656584.157,191379084558.976,202111220039.731,218004233301.55,227116870128.414,246661409554.086,264599022916.042,285974100446.608,307974312089.231,316833203915.398,313175820737.985,341424525310.376,367216630595.035,396067846815.359
Viet Nam,VNM,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,6.20023566697803,10.3999767465931,5.60778911942607,7.86349875019015,4.18002746499857,8.60549875252383,7.27216040579017,8.07829042412907,7.69307836208424,2.87650348695341,-1.15435602462617,9.02007840382571,7.55426261813288,7.85672919376603
Viet Nam,VNM,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,1959.46603644054,2138.06639936697,2231.47061449646,2377.89307125246,2446.76695053606,2624.05428233761,2780.07382936781,2971.55098893193,3169.31506386282,3230.38149769606,3165.46733231098,3425.18340504861,3659.27861939513,3921.9419961297
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,,
